parameter,hierarchy,x,scale,range
predation.accessibility.anchovy.prey.hake,gs,0.1,logit,0.85
predation.accessibility.anchovy.prey.sardine,gs,0.9,logit,0.85
predation.accessibility.anchovy.prey.jurel,gs,0.9,logit,0.85
predation.accessibility.anchovy.prey.caballa,gs,0.9,logit,0.85
predation.accessibility.anchovy.prey.meso,gs,0.55,logit,0.85
predation.accessibility.anchovy.prey.munida,gs,0.05,logit,0.85
predation.accessibility.anchovy.prey.pota,gs,0.6,logit,0.85
predation.accessibility.anchovy.prey.euphausidos,gs,0.6,logit,0.85
predation.predPrey.sizeRatio.theta.sp0.stage1,gs,0.0007957743,logit,0.85
predation.predPrey.sizeRatio.alpha.sp0.stage1,gs,0.078371074,logit,0.85
predation.predPrey.sizeRatio.theta.sp0.stage2,gs,0.003183072,logit,0.85
predation.predPrey.sizeRatio.alpha.sp0.stage2,gs,0.101953841,logit,0.85
predation.predPrey.stage.threshold.sp0,gs,0.5128205,logit,0.85
mortality.starvation.rate.max.sp0,gs,0.1,log,0.85
species.vonbertalanffy.threshold.age.sp0,gs,0.35,logit,0.85
species.egg.size.sp0,er,0.1,log,0.75
predation.efficiency.critical.sp0,er,0.57,logit,0.6856796
predation.ingestion.rate.max.sp0,er,3.5,log,0.6213592
mortality.natural.rate.sp0,mc,0.917730430133648,log,0.300525328
mortality.natural.larva.rate.Lx.sp0,mc,9.582118,log,0.300525328
fishing.multiplier.sp0,mc,1,log,0.300525328
species.sexratio.sp0,hqd,0.5,logit,0.1308901
species.l0.sp0,hqd,1.968233,log,0.107948192
species.K.sp0,hqd,0.76,log,0.1428571
species.lInf.sp0,hqd,19.5,log,0.07795958
species.maturity.size.sp0,hqd,0.6153846,logit,0.1111111
species.length2weight.condition.factor.sp0,hqd,0.0065,log,0.07692308
